6.752 , -16.716 , -1.46
6.399 , -52.696 , -0.72
14.261 , 19.183 , -0.04
14.660 , -60.835 , -0.01
18.616 , 38.784 , 0.03
5.278 , 45.998 , 0.08
5.242 , -8.202 , 0.12
7.655 , 5.225 , 0.38
1.629 , -57.237 , 0.46
5.920 , 7.407 , 0.5
14.064 , -60.373 , 0.61
19.846 , 8.868 , 0.77
4.599 , 16.509 , 0.85
16.490 , -26.432 , 0.96
13.420 , -11.161 , 0.98
7.755 , 28.026 , 1.14
22.961 , -29.622 , 1.16
12.795 , -59.689 , 1.25
20.691 , 45.280 , 1.25
12.443 , -63.099 , 1.33
14.660 , -60.836 , 1.33
10.140 , 11.967 , 1.35
6.977 , -28.972 , 1.5
12.519 , -57.113 , 1.63
17.560 , -37.104 , 1.63
5.419 , 6.350 , 1.64
5.438 , 28.608 , 1.65
9.220 , -69.717 , 1.68
5.604 , -1.202 , 1.7
12.443 , -63.099 , 1.73
22.137 , -46.961 , 1.74
12.900 , 55.960 , 1.77
8.159 , -47.337 , 1.78
3.405 , 49.861 , 1.79
11.062 , 61.751 , 1.79
7.140 , -26.393 , 1.84
18.403 , -34.385 , 1.85
8.375 , -59.510 , 1.86
13.792 , 49.313 , 1.86
17.622 , -42.998 , 1.87
5.992 , 44.948 , 1.9
16.811 , -69.028 , 1.92
6.629 , 16.399 , 1.93
20.427 , -56.735 , 1.94
8.745 , -54.708 , 1.96
6.378 , -17.956 , 1.98
7.577 , 31.888 , 1.98
9.460 , -8.659 , 1.98
2.120 , 23.463 , 2
15.992 , 25.920 , 2
2.530 , 89.264 , 2.02
18.921 , -26.297 , 2.02
0.727 , -17.987 , 2.04
5.679 , -1.943 , 2.05
0.140 , 29.091 , 2.06
1.162 , 35.621 , 2.06
5.796 , -9.670 , 2.06
14.111 , -36.370 , 2.06
14.845 , 74.156 , 2.08
17.582 , 12.560 , 2.08
22.711 , -46.885 , 2.1
3.136 , 40.956 , 2.12
11.818 , 14.572 , 2.14
12.692 , -48.960 , 2.17
20.370 , 40.257 , 2.2
9.133 , -43.433 , 2.21
0.675 , 56.537 , 2.23
5.533 , -0.299 , 2.23
15.578 , 26.715 , 2.23
17.943 , 51.489 , 2.23
8.060 , -40.003 , 2.25
9.285 , -59.275 , 2.25
2.065 , 42.330 , 2.26
0.153 , 59.150 , 2.27
13.399 , 54.925 , 2.27
16.836 , -34.293 , 2.29
13.665 , -53.466 , 2.3
14.699 , -47.388 , 2.3
14.592 , -42.158 , 2.31
16.006 , -22.622 , 2.32
11.031 , 56.383 , 2.37
0.438 , -42.306 , 2.39
21.736 , 9.875 , 2.39
17.708 , -39.030 , 2.41
23.063 , 28.083 , 2.42
17.173 , -15.725 , 2.43
11.897 , 53.695 , 2.44
21.310 , 62.586 , 2.44
7.402 , -29.303 , 2.45
20.770 , 33.970 , 2.46
0.945 , 60.717 , 2.47
23.079 , 15.205 , 2.49
9.369 , -55.011 , 2.5
3.038 , 4.090 , 2.53
13.926 , -47.288 , 2.55
11.235 , 20.524 , 2.56
16.619 , -10.567 , 2.56
5.546 , -17.822 , 2.58
12.263 , -17.542 , 2.59
12.139 , -50.723 , 2.6
19.044 , -29.880 , 2.6
10.333 , 19.842 , 2.61
15.283 , -9.383 , 2.61
5.995 , 37.213 , 2.62
